date,product,sales,price,is_promotion,weather_index,day_of_week,month,year,week_of_year,is_holiday,price_ratio,quarter,is_weekend,day_of_year,trend_index,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,product_id
2021-01-29,Automotive,40.0,38.33,1,66.19,4,1,2021,4,0,0.7455334709248633,1,0,29,28,23.0,22.0,19.0,45.0,21.571428571428573,2.9920529661723756,21.357142857142858,5.3486882138021095,0.4635502709028509,0.886070621534138,0.8214765533024142,0.5702422926917871,0.9922222094179323,0.12447926388678915,0
2021-01-30,Automotive,49.0,38.33,1,65.44,5,1,2021,4,0,0.7455334709248633,1,1,30,29,40.0,24.0,23.0,26.0,24.142857142857142,7.603257447273754,22.0,6.2905825303725695,0.47873384011578846,0.8779600847008882,0.8406184056344782,0.5416278206559814,0.9973249731081555,0.07309512989807777,0
2021-01-31,Automotive,51.0,38.33,1,69.7,6,1,2021,4,0,0.7455334709248633,1,1,31,30,49.0,26.0,22.0,22.0,27.714285714285715,12.079104350272083,22.9,7.906130314618153,0.49377555015997715,0.869589389346611,0.8587639582758029,0.5123714121284237,0.9997685019798909,0.021516097436222254,0
2021-02-01,Automotive,38.0,38.33,1,75.56,0,2,2021,5,0,0.7455334709248633,1,0,32,31,51.0,19.0,18.0,19.0,31.285714285714285,14.86286519836475,23.1,8.535322146113236,0.5086709438521044,0.8609610158889943,0.8758917051442429,0.48250774176121847,0.9995462806873573,-0.030120304846908114,0
2021-02-02,Automotive,18.0,52.36,0,72.55,1,2,2021,5,0,1.0184224507598707,1,0,33,32,38.0,19.0,19.0,19.0,34.0,13.952299690970907,23.5,8.947162909991695,0.5234156073655503,0.8520775211013093,0.8919813464595485,0.45207220393230435,0.9966589017541702,-0.08167639533042241,0
2021-02-03,Automotive,16.0,52.36,0,70.91,2,2,2021,5,0,1.0184224507598707,1,0,34,33,18.0,18.0,19.0,17.0,33.857142857142854,14.135399669253218,23.366666666666667,8.99993614281305,0.5380051715382996,0.8429415373547828,0.9070138128026359,0.4211008707960896,0.9911140639934547,-0.1330147065341959,0
2021-02-04,Automotive,19.0,52.36,0,74.21,3,2,2021,5,0,1.0184224507598707,1,0,35,34,16.0,23.0,17.0,19.0,33.57142857142857,14.524199838627295,23.266666666666666,9.066548342703232,0.5524353131676196,0.8335557718385699,0.9209712877166346,0.38963044953078796,0.9829265519799822,-0.18399835165768005,0
2021-02-05,Automotive,22.0,52.36,0,80.05,4,2,2021,5,0,1.0184224507598707,1,0,36,35,19.0,40.0,22.0,22.0,33.0,15.077577170531528,23.266666666666666,9.066548342703232,0.5667017562911176,0.8239230057575542,0.9338372288229252,0.35769823883312546,0.9721181966290613,-0.23449138957040985,0
2021-02-06,Automotive,30.0,52.36,0,76.24,5,2,2021,5,0,1.0184224507598707,1,1,37,36,22.0,49.0,24.0,23.0,30.428571428571427,15.219035699381475,23.433333333333334,8.99303689771582,0.5808002734538009,0.8140460935082178,0.9455963874271426,0.3253420847119801,0.9587178169872964,-0.2843591872810034,0
2021-02-07,Automotive,31.0,52.36,0,75.64,6,2,2021,5,0,1.0184224507598707,1,1,38,37,30.0,51.0,26.0,24.0,27.714285714285715,12.86745618105726,23.8,9.030217471700608,0.5947266869607634,0.8039279618328213,0.9562348265919056,0.29260033563334836,0.9427611433904207,-0.3334687789181868,0
