date,product,sales,price,is_promotion,weather_index,day_of_week,month,year,week_of_year,is_holiday
2021-01-01,Electronics,314.0,157.05,0,52.05,4,1,2021,53,1
2021-01-02,Electronics,201.0,157.05,0,48.57,5,1,2021,53,0
2021-01-03,Electronics,208.0,157.05,0,55.55,6,1,2021,53,0
2021-01-04,Electronics,151.0,157.05,0,53.31,0,1,2021,1,0
2021-01-05,Electronics,153.0,157.05,0,53.45,1,1,2021,1,0
2021-01-06,Electronics,144.0,157.05,0,61.49,2,1,2021,1,0
2021-01-07,Electronics,155.0,157.05,0,42.55,3,1,2021,1,0
2021-01-08,Electronics,181.0,157.05,0,48.4,4,1,2021,1,0
2021-01-09,Electronics,174.0,157.05,0,50.24,5,1,2021,1,0
2021-01-10,Electronics,189.0,157.05,0,55.04,6,1,2021,1,0
2021-01-11,Electronics,142.0,157.05,0,56.26,0,1,2021,2,0
2021-01-12,Electronics,137.0,157.05,0,50.67,1,1,2021,2,0
2021-01-13,Electronics,139.0,157.05,0,53.95,2,1,2021,2,0
2021-01-14,Electronics,168.0,157.05,0,55.24,3,1,2021,2,0
2021-01-15,Electronics,160.0,157.05,0,72.5,4,1,2021,2,0
2021-01-16,Electronics,211.0,157.05,0,69.89,5,1,2021,2,0
2021-01-17,Electronics,166.0,157.05,0,59.48,6,1,2021,2,0
2021-01-18,Electronics,143.0,157.05,0,60.38,0,1,2021,3,0
2021-01-19,Electronics,145.0,157.05,0,57.1,1,1,2021,3,0
2021-01-20,Electronics,148.0,157.05,0,53.96,2,1,2021,3,0
2021-01-21,Electronics,157.0,157.05,0,63.56,3,1,2021,3,0
2021-01-22,Electronics,181.0,157.05,0,59.8,4,1,2021,3,0
2021-01-23,Electronics,188.0,157.05,0,65.0,5,1,2021,3,0
2021-01-24,Electronics,183.0,157.05,0,58.06,6,1,2021,3,0
2021-01-25,Electronics,155.0,157.05,0,62.88,0,1,2021,4,0
2021-01-26,Electronics,139.0,157.05,0,68.05,1,1,2021,4,0
2021-01-27,Electronics,125.0,157.05,0,69.76,2,1,2021,4,0
2021-01-28,Electronics,134.0,157.05,0,70.63,3,1,2021,4,0
2021-01-29,Electronics,155.0,157.05,0,62.55,4,1,2021,4,0
2021-01-30,Electronics,198.0,157.05,0,74.02,5,1,2021,4,0
2021-01-31,Electronics,189.0,157.05,0,66.35,6,1,2021,4,0
2021-02-01,Electronics,150.0,157.05,0,74.1,0,2,2021,5,0
2021-02-02,Electronics,134.0,157.05,0,71.47,1,2,2021,5,0
2021-02-03,Electronics,139.0,157.05,0,65.22,2,2,2021,5,0
2021-02-04,Electronics,152.0,157.05,0,71.09,3,2,2021,5,0
2021-02-05,Electronics,160.0,157.05,0,75.06,4,2,2021,5,0
2021-02-06,Electronics,194.0,157.05,0,76.85,5,2,2021,5,0
2021-02-07,Electronics,174.0,157.05,0,73.63,6,2,2021,5,0
2021-02-08,Electronics,135.0,157.05,0,82.54,0,2,2021,6,0
2021-02-09,Electronics,132.0,157.05,0,80.45,1,2,2021,6,0
2021-02-10,Electronics,121.0,157.05,0,74.66,2,2,2021,6,0
2021-02-11,Electronics,147.0,157.05,0,80.22,3,2,2021,6,0
2021-02-12,Electronics,155.0,157.05,0,86.65,4,2,2021,6,0
2021-02-13,Electronics,183.0,157.05,0,87.28,5,2,2021,6,0
2021-02-14,Electronics,298.0,157.05,0,71.84,6,2,2021,6,1
2021-02-15,Electronics,141.0,157.05,0,73.83,0,2,2021,7,0
2021-02-16,Electronics,140.0,157.05,0,86.37,1,2,2021,7,0
2021-02-17,Electronics,130.0,157.05,0,74.13,2,2,2021,7,0
2021-02-18,Electronics,532.0,157.05,0,73.27,3,2,2021,7,0
2021-02-19,Electronics,155.0,157.05,0,77.9,4,2,2021,7,0
2021-02-20,Electronics,154.0,157.05,0,82.88,5,2,2021,7,0
2021-02-21,Electronics,154.0,157.05,0,80.7,6,2,2021,7,0
2021-02-22,Electronics,118.0,157.05,0,78.39,0,2,2021,8,0
2021-02-23,Electronics,119.0,157.05,0,78.68,1,2,2021,8,0
2021-02-24,Electronics,131.0,157.05,0,78.9,2,2,2021,8,0
2021-02-25,Electronics,124.0,157.05,0,78.46,3,2,2021,8,0
2021-02-26,Electronics,147.0,157.05,0,94.65,4,2,2021,8,0
2021-02-27,Electronics,191.0,157.05,0,85.11,5,2,2021,8,0
2021-02-28,Electronics,164.0,157.05,0,88.43,6,2,2021,8,0
2021-03-01,Electronics,136.0,157.05,0,81.91,0,3,2021,9,0
2021-03-02,Electronics,115.0,157.05,0,83.77,1,3,2021,9,0
2021-03-03,Electronics,121.0,157.05,0,81.47,2,3,2021,9,0
2021-03-04,Electronics,119.0,157.05,0,72.1,3,3,2021,9,0
2021-03-05,Electronics,143.0,157.05,0,78.79,4,3,2021,9,0
2021-03-06,Electronics,178.0,157.05,0,76.93,5,3,2021,9,0
2021-03-07,Electronics,141.0,157.05,0,75.03,6,3,2021,9,0
2021-03-08,Electronics,128.0,157.05,0,80.59,0,3,2021,10,0
2021-03-09,Electronics,123.0,157.05,0,93.46,1,3,2021,10,0
2021-03-10,Electronics,113.0,157.05,0,86.88,2,3,2021,10,0
2021-03-11,Electronics,110.0,157.05,0,93.81,3,3,2021,10,0
2021-03-12,Electronics,142.0,157.05,0,89.65,4,3,2021,10,0
2021-03-13,Electronics,154.0,157.05,0,91.74,5,3,2021,10,0
2021-03-14,Electronics,160.0,157.05,0,83.54,6,3,2021,10,0
2021-03-15,Electronics,119.0,157.05,0,90.87,0,3,2021,11,0
2021-03-16,Electronics,130.0,157.05,0,92.09,1,3,2021,11,0
2021-03-17,Electronics,111.0,157.05,0,85.75,2,3,2021,11,0
2021-03-18,Electronics,110.0,157.05,0,91.6,3,3,2021,11,0
2021-03-19,Electronics,138.0,157.05,0,91.79,4,3,2021,11,0
2021-03-20,Electronics,157.0,157.05,0,86.37,5,3,2021,11,0
2021-03-21,Electronics,167.0,157.05,0,83.64,6,3,2021,11,0
2021-03-22,Electronics,122.0,157.05,0,83.46,0,3,2021,12,0
2021-03-23,Electronics,114.0,157.05,0,89.93,1,3,2021,12,0
2021-03-24,Electronics,122.0,157.05,0,91.23,2,3,2021,12,0
2021-03-25,Electronics,104.0,157.05,0,85.73,3,3,2021,12,0
2021-03-26,Electronics,123.0,157.05,0,89.9,4,3,2021,12,0
2021-03-27,Electronics,136.0,157.05,0,92.69,5,3,2021,12,0
2021-03-28,Electronics,139.0,157.05,0,92.98,6,3,2021,12,0
2021-03-29,Electronics,97.0,157.05,0,97.7,0,3,2021,13,0
2021-03-30,Electronics,111.0,157.05,0,96.35,1,3,2021,13,0
2021-03-31,Electronics,102.0,157.05,0,84.98,2,3,2021,13,0
2021-04-01,Electronics,96.0,157.05,0,98.42,3,4,2021,13,0
2021-04-02,Electronics,114.0,157.05,0,87.34,4,4,2021,13,0
2021-04-03,Electronics,286.0,114.02,1,95.21,5,4,2021,13,0
2021-04-04,Electronics,290.0,114.02,1,90.3,6,4,2021,13,0
2021-04-05,Electronics,239.0,114.02,1,87.86,0,4,2021,14,0
2021-04-06,Electronics,247.0,114.02,1,80.83,1,4,2021,14,0
2021-04-07,Electronics,203.0,114.02,1,88.95,2,4,2021,14,0
2021-04-08,Electronics,190.0,114.02,1,81.93,3,4,2021,14,0
2021-04-09,Electronics,98.0,157.05,0,94.48,4,4,2021,14,0
2021-04-10,Electronics,137.0,157.05,0,97.13,5,4,2021,14,0
2021-04-11,Electronics,122.0,157.05,0,85.45,6,4,2021,14,0
2021-04-12,Electronics,156.0,134.38,1,90.83,0,4,2021,15,0
2021-04-13,Electronics,149.0,134.38,1,85.56,1,4,2021,15,0
